Limit,Tokenizer,Avg CR,Avg FS,Avg Tokens
500,BPE,1.03758707525053,0.9642609097467632,75.79
500,GPE,1.5493918433203773,0.6480897391613963,50.846
500,Sandhi-GPE,3.440583743783861,0.29958594479997497,23.618
1000,BPE,1.0388742204647108,0.9630752571284131,75.499
1000,GPE,1.551372701977404,0.6469453534326559,50.674
1000,Sandhi-GPE,3.4326352052082556,0.2985846206784526,23.413
2000,BPE,1.0387699324227977,0.963184777950443,73.7535
2000,GPE,1.5499379355902625,0.6475424210478116,49.559
2000,Sandhi-GPE,3.4302101787770454,0.2987186160464115,22.7815
3000,BPE,1.0390580127799989,0.9629336493714625,73.63633333333334
3000,GPE,1.5478182665596494,0.6486916087646595,49.57333333333333
3000,Sandhi-GPE,3.4340555234808345,0.2988483927231275,22.768333333333334
